{'time_stamp': 1589248929.194857, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7cff7cfc7c4008'}
{'time_stamp': 1589248929.194273, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.203718, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'db7b7dcd057dcc08'}
{'time_stamp': 1589248929.204849, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7cfe7cff7c4008'}
{'time_stamp': 1589248929.204271, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.214928, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'da7b7dd0057dcc08'}
{'time_stamp': 1589248929.217159, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017dff7c017d4008'}
{'time_stamp': 1589248929.215482, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.223724, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd67b7dd9057dcc08'}
{'time_stamp': 1589248929.22484, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037dfe7c027d4008'}
{'time_stamp': 1589248929.224275, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.233735, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'da7b7de3057dcc09'}
{'time_stamp': 1589248929.234847, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d027d027d4009'}
{'time_stamp': 1589248929.234284, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.243718, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e07b7ddf057dcc09'}
{'time_stamp': 1589248929.244843, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c017dfa7c4009'}
{'time_stamp': 1589248929.244268, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.253716, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd67b7dd6057dcc07'}
{'time_stamp': 1589248929.25483, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfb7cf87c4007'}
{'time_stamp': 1589248929.254265, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.263804, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd07b7dcf057dcc07'}
{'time_stamp': 1589248929.264859, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7cfd7c4007'}
{'time_stamp': 1589248929.264301, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.273721, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ca7b7dbf057dcc07'}
{'time_stamp': 1589248929.274841, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97cfd7c017d4007'}
{'time_stamp': 1589248929.274267, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.283716, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c47b7db0057dcc08'}
{'time_stamp': 1589248929.284832, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7cfe7cfa7c4008'}
{'time_stamp': 1589248929.284267, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.293727, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c07b7da1057dcc08'}
{'time_stamp': 1589248929.294837, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7cfe7cf47c4008'}
{'time_stamp': 1589248929.294277, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.303768, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ba7b7d9d057dcc08'}
{'time_stamp': 1589248929.304838, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfd7cf47c4008'}
{'time_stamp': 1589248929.304275, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dff7c3179bf00'}
{'time_stamp': 1589248929.31494, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b17b7d9c057dcc08'}
{'time_stamp': 1589248929.317164, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017dfa7cf77c4008'}
{'time_stamp': 1589248929.315543, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.323785, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a27b7db0057dcc09'}
{'time_stamp': 1589248929.324862, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '097dfa7cfa7c4009'}
{'time_stamp': 1589248929.324282, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.333689, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '997b7dca057dcc09'}
{'time_stamp': 1589248929.334811, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087dfc7c007d4009'}
{'time_stamp': 1589248929.334241, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.343716, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '8e7b7dd2057dcc07'}
{'time_stamp': 1589248929.344839, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017dfb7c027d4007'}
{'time_stamp': 1589248929.344266, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.353731, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '8b7b7dcc057dcc07'}
{'time_stamp': 1589248929.354847, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7c007d087d4007'}
